timestamp,cpu_usage
2026-03-13 05:11:00+00:00,0.0144854626761838
2026-03-13 05:16:00+00:00,5.517901785738398
2026-03-13 05:21:00+00:00,5.662090839642966
2026-03-13 05:26:00+00:00,0.20996281329479133
2026-03-13 05:31:00+00:00,0.2750343259187945
2026-03-13 05:36:00+00:00,0.28162664616108374
2026-03-13 05:41:00+00:00,0.38510992930788246
2026-03-13 05:46:00+00:00,0.253320075238325
2026-03-13 05:51:00+00:00,0.3999980555879624
2026-03-13 05:56:00+00:00,0.17001196966744792
2026-03-13 06:01:00+00:00,0.13335707485620565
2026-03-13 06:06:00+00:00,0.3866299479720216
2026-03-13 06:11:00+00:00,0.3831785581292493
2026-03-13 06:16:00+00:00,0.2958799744743473
